Cake_Flavor,Flour_Quantity (g),Sugar_Content (g),Butter_Quantity (g),Egg_Count,Milk_Quantity (ml),Oven_Temperature (°C),Baking_Time (min),Mixing_Time (min),Cooling_Time (min),Decoration_Time (min),Oven_Type,Frosting_Type,Ingredient_Source,Production_Cost (₹),Temperature_Humidity (%),Ingredient_Quality_Score,Baker_Experience (years),Customer_Rating,Production_Date,Cake_Quality
,352.5 g,205.2 g,138.1,4.0,212.8,188.8 °C,42.3,6.1,13.0,5.6,Gas,Fondant,Local,425.1,53.6 %,7.6,11,3.7,2024-09-27,Good
Butterscotch,277.9 g,224.0 g,116.1,2.0,178.9,,41.3,11.9,11.1,3.4,Electric,Fondant,Imported,558.2,46.1 %,7.7,14,4.2,2025-01-23,Good
White Forest,253.2 g,207.4 g,134.2,2.0,217.8,179.3 °C,41.4,14.9,20.9,10.7,Electric,Buttercream,Local,297.4,52.0 %,6.0,10,4.0,2025-05-03,Average
Strawberry,282.2 g,162.3 g,128.1,4.0,186.6,215.7 °C,39.0,11.5,17.8,7.7,Gas,Ganache,Local,258.4,52.2 %,9.1,6,4.8,2024-05-12,Excellent
Chocolate,260.6 g,176.9 g,105.7,2.0,152.4,186.9 °C,40.2,4.4,11.4,10.9,Convection,Ganache,Mixed,287.1,47.1 %,6.6,10,4.0,2024-02-14,Average
Chocolate,258.7 g,196.4 g,135.4,2.0,253.9,178.9 °C,40.9,9.0,15.0,11.2,Electric,Ganache,Local,430.5,59.7 %,7.4,9,4.6,2025-06-25,Good
Chocolate,293.7 g,190.8 g,162.2,3.0,159.1,178.2 °C,32.9,12.7,15.4,11.9,Gas,Ganache,Imported,499.0,50.4 %,6.0,10,4.1,2025-10-30,Average
Chocolate Truffle,234.5 g,189.2 g,136.3,3.8,157.0,218.5 °C,29.8,8.8,21.2,10.6,Electric,Fondant,Imported,276.3,45.6 %,8.4,2,3.4,2023-05-11,Good
Strawberry,238.0 g,178.7 g,,1.0,207.9,192.8 °C,31.1,12.0,12.0,8.7,Electric,Ganache,Imported,357.2,56.5 %,7.5,5,5.0,2024-03-11,Good
Black Forest,278.6 g,173.1 g,138.4,4.0,152.9,197.5 °C,32.5,5.7,18.3,7.7,Electric,Ganache,Local,199.1,46.2 %,7.7,4,4.7,2024-06-16,Good
Chocolate,277.2 g,254.1 g,130.4,2.0,144.2,214.7 °C,36.6,4.0,11.5,11.8,Electric,Whipped Cream,Imported,346.4,49.2 %,6.4,15,3.6,2024-10-23,Average
Butterscotch,290.3 g,196.0 g,126.4,2.0,156.5,208.4 °C,41.1,10.1,12.3,9.2,Electric,Buttercream,Local,600.2,60.1 %,6.5,4,4.3,2023-08-13,Average
Pineapple,363.8 g,210.0 g,119.5,3.0,207.9,201.4 °C,35.6,3.5,14.8,4.0,Electric,Buttercream,Imported,319.6,55.2 %,10.0,9,3.5,2023-08-06,Excellent
Chocolate,281.5 g,195.6 g,159.1,4.0,273.8,222.0 °C,42.6,13.6,9.3,20.7,Electric,Fondant,Imported,348.0,72.7 %,7.7,11,3.1,2023-12-15,Good
Chocolate,300.3 g,196.4 g,154.0,5.0,178.4,180.8 °C,35.1,7.7,,9.9,Gas,Ganache,Local,252.2,46.1 %,9.7,3,4.6,2025-03-24,Excellent
Chocolate,249.1 g,194.2 g,133.3,2.0,157.6,193.6 °C,52.4,11.0,15.6,3.7,Electric,Whipped Cream,Local,565.8,47.7 %,7.0,12,4.5,2025-05-01,Good
Vanilla,307.4 g,176.8 g,112.4,4.0,225.9,214.4 °C,35.6,13.8,15.0,3.6,Gas,Fondant,Imported,264.1,65.3 %,6.5,11,4.0,2024-08-18,Average
Red Velvet,261.3 g,171.8 g,147.9,2.0,160.4,235.4 °C,34.6,10.1,15.8,3.7,Electric,Fondant,Local,334.0,55.1 %,7.5,5,4.0,2023-05-11,Good
Red Velvet,280.4 g,203.8 g,124.1,5.0,165.1,238.2 °C,29.7,7.5,18.9,4.5,Electric,Ganache,Local,307.1,47.9 %,7.2,12,3.1,2025-05-23,Good
,274.3 g,199.4 g,141.0,2.0,192.4,181.9 °C,44.1,7.9,13.4,14.6,Convection,Ganache,Imported,235.0,53.1 %,7.3,8,5.0,2024-10-16,Good
Strawberry,319.2 g,217.8 g,116.8,3.0,221.6,199.5 °C,43.5,10.8,,15.7,Electric,Whipped Cream,Imported,243.4,52.2 %,6.0,8,3.4,2024-01-22,Average
Chocolate,241.0 g,212.3 g,,2.0,180.6,206.6 °C,47.7,7.4,17.7,9.4,Electric,Buttercream,Local,376.7,59.0 %,10.0,2,4.9,2024-08-04,Excellent
Vanilla,221.6 g,181.3 g,135.8,2.5,167.6,195.7 °C,45.5,9.5,13.0,12.6,Gas,Ganache,Local,329.3,55.0 %,7.3,8,5.0,2023-04-25,Good
Vanilla,270.9 g,223.4 g,109.4,1.0,285.1,210.3 °C,35.4,10.2,18.1,12.4,Gas,Buttercream,Imported,322.9,47.9 %,10.0,8,4.0,2024-09-07,Excellent
Red Velvet,295.1 g,213.1 g,180.6,2.0,159.0,246.4 °C,25.6,8.8,6.6,8.1,Electric,Fondant,Local,376.4,55.0 %,6.7,9,4.0,2025-03-19,Average
White Forest,283.2 g,211.2 g,132.5,3.0,161.9,185.5 °C,36.5,3.9,16.1,17.2,Electric,Whipped Cream,Mixed,341.9,47.7 %,8.3,4,3.9,2024-06-06,Good
Chocolate,328.8 g,264.3 g,133.6,4.0,166.6,181.2 °C,43.4,10.8,15.9,3.8,Electric,Ganache,Local,346.1,48.0 %,8.0,14,4.2,2023-08-22,Good
Red Velvet,293.9 g,255.6 g,149.3,3.8,197.4,209.2 °C,34.4,11.7,21.3,12.3,Gas,Whipped Cream,Local,309.5,52.3 %,7.2,4,3.7,2023-04-25,Good
,260.2 g,211.2 g,137.3,2.0,164.4,unknown,31.6,7.2,17.8,13.2,Electric,Fondant,Local,293.4,49.6 %,8.6,8,4.0,2024-05-06,Good
Chocolate,220.8 g,208.0 g,145.5,2.0,207.8,209.9 °C,32.6,11.0,19.2,6.4,Electric,Fondant,Local,455.2,46.8 %,6.6,8,3.8,,Average
Strawberry,270.1 g,221.9 g,121.1,4.0,176.7,201.4 °C,45.2,8.5,14.9,16.0,Electric,Buttercream,Imported,284.3,59.2 %,7.6,6,4.3,2025-06-30,Good
Chocolate,319.0 g,184.8 g,135.6,1.0,168.6,195.4 °C,32.2,4.8,16.3,4.9,Gas,Fondant,Local,524.2,46.5 %,5.1,1,3.3,,Average
Chocolate,265.3 g,185.1 g,113.3,4.0,161.8,188.2 °C,40.5,8.3,10.9,10.9,Convection,Ganache,Imported,259.3,60.0 %,8.8,9,4.5,2023-09-01,Good
Butterscotch,278.9 g,210.8 g,134.0,3.0,177.5,199.8 °C,42.3,4.6,12.9,9.2,Gas,Ganache,Imported,282.9,54.5 %,6.9,1,4.0,2023-09-09,Average
Butterscotch,293.2 g,180.6 g,174.7,3.0,193.5,192.4 °C,39.7,10.6,17.0,3.8,Gas,Whipped Cream,Imported,345.9,47.0 %,7.7,7,4.4,2025-09-01,Good
Pineapple,248.1 g,208.7 g,117.1,3.0,177.2,218.7 °C,29.9,12.2,23.2,14.6,Electric,Ganache,Imported,245.4,55.1 %,7.5,9,3.6,2023-01-17,Good
