Cake_Flavor,Flour_Quantity (g),Sugar_Content (g),Butter_Quantity (g),Egg_Count,Milk_Quantity (ml),Oven_Temperature (°C),Baking_Time (min),Mixing_Time (min),Cooling_Time (min),Decoration_Time (min),Oven_Type,Frosting_Type,Ingredient_Source,Production_Cost (₹),Temperature_Humidity (%),Ingredient_Quality_Score,Baker_Experience (years),Customer_Rating,Cake_Quality,Cake_Quality_Encoded
9,352.5,205.2,138.1,4,212.8,188.8,42.3,6.1,13.0,5.6,2,1,2,425.1,53.6,7.6,11.0,3.7,2,2
1,277.9,224.0,116.1,2,178.9,200.22282749675747,41.3,11.9,11.1,3.4,1,1,1,311.35,46.1,7.7,14.0,4.2,2,2
8,253.2,207.4,134.2,2,217.8,179.3,41.4,14.9,20.9,10.7,1,0,2,297.4,52.0,6.0,10.0,4.0,0,0
6,282.2,162.3,128.1,4,186.6,215.7,39.0,11.5,17.8,7.7,2,2,2,258.4,52.2,9.1,6.0,4.8,1,1
2,260.6,176.9,105.7,2,152.4,186.9,40.2,4.4,11.4,10.9,0,2,3,287.1,47.1,6.6,10.0,4.0,0,0
2,258.7,196.4,135.4,2,253.9,178.9,40.9,9.0,15.0,11.2,1,2,2,430.5,59.7,7.4,9.0,4.6,2,2
2,293.7,190.8,162.2,3,159.1,178.2,32.9,12.7,15.4,11.9,2,2,1,499.0,50.4,6.0,10.0,4.1,0,0
3,234.5,189.2,136.3,3,157.0,218.5,29.8,8.8,21.2,10.6,1,1,1,276.3,45.6,8.4,2.0,3.4,2,2
6,238.0,178.7,142.03971788134422,1,207.9,192.8,31.1,12.0,12.0,8.7,1,2,1,357.2,56.5,7.5,5.0,5.0,2,2
0,278.6,173.1,138.4,4,152.9,197.5,32.5,5.7,18.3,7.7,1,2,2,199.1,46.2,7.7,4.0,4.7,2,2
2,277.2,196.7,130.4,2,144.2,214.7,36.6,4.0,11.5,11.8,1,3,1,346.4,49.2,6.4,15.0,3.6,0,0
1,290.3,196.0,126.4,2,156.5,208.4,41.1,10.1,12.3,9.2,1,0,2,311.35,60.1,6.5,4.0,4.3,0,0
4,363.8,210.0,119.5,3,207.9,201.4,35.6,3.5,14.8,4.0,1,0,1,319.6,55.2,10.0,9.0,3.5,1,1
2,281.5,195.6,159.1,4,178.2,222.0,42.6,13.6,9.3,20.7,1,1,1,348.0,52.9,7.7,11.0,3.1,2,2
2,300.3,196.4,154.0,5,178.4,180.8,35.1,7.7,14.994355296790683,9.9,2,2,2,252.2,46.1,9.7,3.0,4.6,1,1
2,249.1,194.2,133.3,2,157.6,193.6,52.4,11.0,15.6,3.7,1,3,2,311.35,47.7,7.0,12.0,4.5,2,2
7,307.4,176.8,112.4,4,225.9,214.4,35.6,13.8,15.0,3.6,2,1,1,264.1,65.3,6.5,11.0,4.0,0,0
5,261.3,171.8,147.9,2,160.4,235.4,34.6,10.1,15.8,3.7,1,1,2,334.0,55.1,7.5,5.0,4.0,2,2
5,280.4,203.8,124.1,5,165.1,238.2,29.7,7.5,18.9,4.5,1,2,2,307.1,47.9,7.2,12.0,3.1,2,2
9,274.3,199.4,141.0,2,192.4,181.9,44.1,7.9,13.4,14.6,0,2,1,235.0,53.1,7.3,8.0,5.0,2,2
6,319.2,217.8,116.8,3,221.6,199.5,43.5,10.8,14.994355296790683,15.7,1,3,1,243.4,52.2,6.0,8.0,3.4,0,0
2,241.0,212.3,142.03971788134422,2,180.6,206.6,47.7,7.4,17.7,9.4,1,0,2,376.7,59.0,10.0,2.0,4.9,1,1
7,221.6,181.3,135.8,2,167.6,195.7,45.5,9.5,13.0,12.6,2,2,2,329.3,55.0,7.3,8.0,5.0,2,2
